id,world_id,country,visit,purchase,download
2608,9,United States,1,1,0
2609,9,United States,1,1,0
2620,9,United States,3,1,62
2624,9,United States,3,1,0
2625,1,United States,2,1,10
2630,9,United States,2,1,0
2631,9,United States,1,0,0
2632,1,United Kingdom,1,1,5
2637,9,United States,3,1,0
2639,9,Canada,2,1,2
2641,1,United States,3,1,3
2642,1,United States,0,1,0
2645,9,United States,3,0,6
2648,9,United States,3,1,0
2651,1,United States,0,0,0
2657,9,United States,1,1,9
2660,1,United States,3,1,0
2664,1,United States,2,0,0
2665,9,United States,1,1,1
2668,1,United States,0,1,100
2672,1,United States,1,1,0
2682,9,United States,1,1,0
2685,9,United States,2,1,10
2686,9,United States,1,1,15
2688,9,United States,2,0,1
2690,1,United States,1,0,0
2691,9,United States,3,1,0
2695,9,United States,1,1,200
2696,1,United States,1,1,0
2698,9,United States,3,1,30
2704,9,Singapore,2,1,10
2705,1,United States,2,1,6
2706,1,United States,3,1,50
2713,1,United States,3,0,8
2716,9,Australia,3,1,5
2722,1,Japan,3,0,20
2723,1,Netherlands,3,1,10
2730,1,United States,3,1,3
2731,9,Portugal,0,1,0
2732,9,United States,0,0,0
2734,9,United States,3,1,20
2735,1,Canada,3,1,0
2736,1,United States,3,1,0
2740,9,United States,2,1,2
2741,9,United States,3,0,0
2745,1,United States,2,1,20
2747,9,United States,1,0,0
2753,1,United States,1,1,0
2756,1,United States,3,0,15
2758,9,United States,2,1,25
2764,9,United States,1,1,0
2769,9,United States,3,0,60
2772,1,Saint Kitts & Nevis,1,1,0
2775,9,United Kingdom,2,1,0
2777,9,United States,3,1,0
2778,1,United States,1,1,2
2783,9,United States,1,1,0
2786,9,United States,0,0,10
2789,9,United States,3,1,5
2790,9,United States,3,1,200
2791,9,United States,3,1,10
2794,1,United States,1,1,17
2797,1,United States,3,1,0
2798,1,United States,3,1,8
2803,1,Canada,1,1,5
2804,9,Canada,1,1,10
2805,1,United States,1,1,5
2809,1,United States,3,1,500
2811,9,United States,1,0,10
2813,9,United States,3,1,0
2815,9,United Kingdom,2,1,0
2816,9,United States,0,1,0
2822,9,United States,3,1,1000
2825,1,United States,3,1,500
2826,9,United States,3,1,30
2827,9,United States,1,0,50
2831,9,United States,3,1,25
2833,9,United States,3,1,0
2834,1,United States,2,1,5
2839,9,United States,0,1,0
2841,1,United States,3,1,25
2843,9,United States,2,0,0
2846,1,United States,2,0,28
2856,1,United States,3,1,0
2860,9,Portugal,1,1,10
2865,1,United States,1,1,0
2876,9,United States,1,1,2
2880,1,United States,2,1,1000
2885,1,Germany,1,1,20
2897,1,United States,3,1,0
2899,1,United States,1,1,1
2902,9,United States,3,1,35
2906,1,United States,3,1,14
2908,9,United States,1,0,2
2910,1,United States,0,1,50
2916,1,United States,2,0,0
2918,1,United States,2,1,0
2923,1,United States,2,1,15
2924,9,United States,3,1,20
2925,1,United States,3,1,5
2926,9,United States,1,0,0
2927,9,United States,1,1,0
2934,1,United Kingdom,0,0,100
2935,9,United States,3,0,20
2937,1,Portugal,3,1,0
2942,1,United States,0,0,0
2943,9,United States,3,1,20
2944,9,United States,3,0,10
2949,1,United States,2,1,0
2951,9,United States,1,0,0
2955,9,United States,1,1,0
2959,1,United States,3,1,30
2962,9,United States,3,1,0
2963,9,United States,0,1,0
2966,9,United States,0,0,0
2970,9,United States,1,1,15
2973,9,Albania,3,0,0
2979,9,United States,3,1,30
2982,9,United States,2,1,0
2984,1,United States,1,1,0
2989,9,Japan,3,1,200
2992,9,United States,2,1,50
2993,9,United States,1,0,10
2994,9,United States,0,1,2
2999,9,United States,2,1,50
3007,9,United States,1,1,2
3009,9,United States,0,0,0
3010,1,United States,2,1,100
3012,9,United States,1,1,12
3015,9,United States,2,1,0
3020,9,United States,1,1,2
3025,9,United States,3,1,0
3026,9,Korea,1,1,1
3033,9,United States,2,1,10
3036,9,United States,1,1,30
3041,9,United States,3,1,60
3042,9,United States,3,1,5
3045,9,United States,1,1,0
3047,9,United States,2,1,5
3059,1,United States,1,0,2
3062,1,United States,1,1,0
3065,9,United States,2,0,0
3069,9,United States,3,1,20
3072,9,United States,1,1,0
3076,9,United States,2,1,30
3077,1,United States,1,1,15
3090,1,United States,3,1,9
3091,1,Nepal,3,1,0
3094,9,United Kingdom,0,0,10
3097,9,United States,1,0,0
3099,1,United States,2,0,2
3105,1,United States,2,0,0
3110,9,United States,1,1,2
3112,9,Puerto Rico,2,1,0
3118,9,United States,3,1,0
3121,9,United States,0,1,0
3122,9,United States,1,1,10
3125,1,United States,1,1,0
3127,9,United States,2,1,10
3133,9,United States,3,1,50
3137,1,United States,1,1,0
3139,9,United States,1,1,0
3144,9,United States,0,1,30
3150,9,United States,3,1,0
3152,1,United States,1,0,10
3153,9,United States,1,1,0
3158,9,United States,3,1,4
3163,9,United States,3,0,20
3164,9,United States,3,1,3
3166,1,United States,1,1,0
3177,9,United States,3,1,0
3181,9,United States,1,1,5
3182,1,United States,1,1,15
3185,1,United States,3,1,25
3187,9,Canada,2,1,40
3189,9,United States,0,1,12
3192,1,United States,1,1,56
3193,9,United States,1,0,10
3197,9,United States,0,1,20
3199,9,United Kingdom,3,1,15
3206,9,United States,2,1,7
3212,9,Portugal,3,1,50
3213,9,United States,2,1,0
3217,1,United States,1,1,0
3233,9,United States,1,1,0
3235,9,United States,1,1,1
3236,1,United States,0,1,15
3237,1,United States,2,1,0
3240,9,United States,1,1,0
3241,1,United States,1,1,0
3247,1,United States,0,1,0
3248,1,Trinidad,1,1,0
3250,1,United States,2,0,20
3253,9,United States,2,1,0
3255,1,United States,3,1,20
3257,1,United States,1,0,1
3259,9,United States,3,1,0
3263,9,United States,1,1,2
3267,9,United States,3,1,100
3268,9,United States,0,0,2
3269,9,United States,3,1,0
3282,1,United States,3,1,1
3283,9,Algeria,3,1,6
3285,1,Canada,3,1,2550
3286,9,United Kingdom,3,1,51
